lon,lat
131.7872,33.23962
131.78706,33.2396
131.78651,33.23954
131.78611,33.2395
131.78569,33.23945
131.78524,33.23945
131.78404,33.23946
131.78392,33.23944
131.78366,33.23936
131.78353,33.23931
131.78317,33.23915
131.78292,33.23906
131.78292,33.23906
131.78268,33.239
131.78254,33.23899
131.7824,33.23898
131.78202,33.23897
131.78189,33.23897
131.78176,33.23897
131.78163,33.23896
131.78138,33.23896
131.78125,33.23896
131.78112,33.23896
131.78099,33.23896
131.7806,33.23895
131.78047,33.23895
131.78034,33.23895
131.7798,33.23892
131.77964,33.2389
131.77949,33.23886
131.77935,33.23882
131.77893,33.23864
131.77893,33.23864
131.77836,33.23825
131.77827,33.23816
131.77799,33.23791
131.7777,33.23765
131.77752,33.2375
131.77743,33.23741
131.77734,33.23733
131.77706,33.2371
131.77697,33.23701
131.7769,33.23693
131.7769,33.23693
131.77673,33.23677
131.77664,33.23669
131.77645,33.23654
131.77616,33.23631
131.77597,33.23617
131.77575,33.23606
131.77565,33.23601
131.77554,33.23596
131.77516,33.23583
131.77503,33.2358
131.77407,33.23569
131.77391,33.23569
131.77372,33.2357
131.77354,33.23572
131.77302,33.23584
131.77285,33.23589
131.77252,33.23602
131.7722,33.23614
131.77203,33.23621
131.77186,33.23627
131.77154,33.2364
131.7712,33.23652
131.77105,33.23658
131.77038,33.23683
131.77005,33.23696
131.76989,33.23703
131.7694,33.23718
131.76925,33.23722
131.76892,33.23727
131.76856,33.23729
131.76768,33.2372
131.76704,33.23699
131.76675,33.23687
131.76614,33.23664
131.76599,33.23659
131.76583,33.23653
131.76553,33.23642
131.76524,33.23631
131.76493,33.2362
131.76478,33.23614
131.76448,33.23603
131.76432,33.23597
131.7639,33.23581
131.76361,33.23571
131.76345,33.23567
131.76332,33.23562
131.76316,33.23558
131.76301,33.23553
131.76239,33.23537
131.76223,33.23534
131.7621,33.2353
131.76196,33.23527
131.76182,33.23524
131.76168,33.23522
131.76141,33.23517
131.76127,33.23516
131.76113,33.23514
131.761,33.23512
131.76086,33.23511
131.76074,33.23509
131.7606,33.23508
131.76046,33.23507
131.76019,33.23506
131.76005,33.23506
131.75978,33.23506
131.75965,33.23506
131.75819,33.23508
131.75805,33.23508
131.75793,33.23508
131.75779,33.23508
131.7574,33.23509
131.75726,33.23509
131.75712,33.23509
131.75698,33.2351
131.75686,33.2351
131.75659,33.23511
131.75643,33.23511
131.75616,33.23511
131.75604,33.23512
131.75592,33.23512
131.75566,33.23513
131.75541,33.23513
131.75529,33.23513
131.75517,33.23513
131.75505,33.23513
131.75479,33.23513
131.75466,33.23513
131.75453,33.23513
131.75439,33.23514
131.75425,33.23514
131.75411,33.23514
131.75398,33.23514
131.75398,33.23514
131.75338,33.23515
131.75294,33.23515
131.75279,33.23515
131.75265,33.23516
131.7525,33.23516
131.75221,33.23516
131.75192,33.23516
131.75163,33.23516
131.75148,33.23516
131.75103,33.23517
131.75088,33.23517
131.75041,33.23517
131.75024,33.23517
131.74957,33.23518
131.7494,33.23518
131.74923,33.23518
131.74906,33.23519
131.74871,33.23519
131.74855,33.2352
131.74838,33.2352
131.74804,33.23521
131.74771,33.23523
131.74755,33.23516
131.74754,33.23511
131.74755,33.23492
131.74755,33.23479
131.74755,33.23473
131.74755,33.23466
131.74746,33.23444
131.74745,33.23444
131.74745,33.23444
131.74745,33.23445
131.74743,33.23445
131.7474,33.23445
131.74734,33.23445
131.7471,33.23444
131.74703,33.23444
131.74699,33.23445
131.74691,33.23463
131.7469,33.23476
131.74691,33.23491
131.74691,33.23506
131.74691,33.23514
131.74691,33.23527
131.7469,33.23531
131.74688,33.23532
131.74674,33.23535
131.74659,33.23538
131.7465,33.2354
131.74641,33.23542
131.74641,33.23542
131.74641,33.23542
