lon,lat,,,,,
131.71913,33.24483,,,,, 
131.71945,33.24479,,,,, 
131.71943,33.24478,,,,, 
131.71942,33.24476,,,,, 
131.71942,33.24477,,,,, 
131.71943,33.24478,,,,, 
131.71943,33.24473,,,,, 
131.7194,33.24473,,,,, 
131.71942,33.24477,,,,, 
131.71942,33.24477,,,,, 
131.71937,33.2447,,,,, 
131.71936,33.24472,,,,, 
131.7194,33.24473,,,,, 
131.7194,33.24473,,,,, 
131.71931,33.24479,,,,, 
131.71931,33.24479,,,,, 
131.71931,33.24479,,,,, 
131.71931,33.24479,,,,, 
131.71931,33.24479,,,,, 
131.71932,33.24479,,,,, 
131.71932,33.24478,,,,, 
131.71932,33.24478,,,,, 
131.71932,33.24478,,,,, 
131.71932,33.24478,,,,, 
131.71932,33.24478,,,,, 
131.71932,33.24478,,,,, 
131.71937,33.24481,,,,, 
131.71939,33.24484,,,,, 
131.71942,33.24486,,,,, 
131.71946,33.24498,,,,, 
131.71949,33.24503,,,,, 
131.71952,33.24505,,,,, 
131.71952,33.24505,,,,, 
131.71954,33.24508,,,,, 
131.71955,33.24509,,,,, 
131.71957,33.24514,,,,, 
131.71954,33.24515,,,,, 
131.71936,33.24522,,,,, 
131.71929,33.24523,,,,, 
131.71925,33.24525,,,,, 
131.71922,33.24526,,,,, 
131.71914,33.24528,,,,, 
131.7191,33.24529,,,,, 
131.71902,33.24533,,,,, 
131.71894,33.24536,,,,, 
131.7189,33.24538,,,,, 
131.71887,33.2454,,,,, 
131.71882,33.24541,,,,, 
131.71878,33.24543,,,,, 
131.71873,33.24545,,,,, 
131.71868,33.24547,,,,, 
131.71858,33.24551,,,,, 
131.71852,33.24554,,,,, 
131.71847,33.24556,,,,, 
131.71844,33.24558,,,,, 
131.71839,33.24561,,,,, 
131.71838,33.24562,,,,, 
131.71838,33.24564,,,,, 
131.71839,33.2457,,,,, 
131.71841,33.24573,,,,, 
131.71846,33.24578,,,,, 
131.71853,33.2459,,,,, 
131.71873,33.24621,,,,, 
131.71887,33.24642,,,,, 
131.71894,33.24655,,,,, 
131.71899,33.2466,,,,, 
131.719,33.24664,,,,, 
131.71902,33.24666,,,,, 
131.71902,33.24667,,,,, 
131.71902,33.24667,,,,, 
131.71902,33.24667,,,,, 
131.71902,33.24669,,,,, 
131.71903,33.24671,,,,, 
131.71907,33.24674,,,,, 
131.7191,33.24676,,,,, 
131.71914,33.24676,,,,, 
131.71919,33.24675,,,,, 
131.71925,33.24673,,,,, 
131.71931,33.2467,,,,, 
131.71931,33.2467,,,,, 
131.71946,33.24663,,,,, 
131.71955,33.24659,,,,, 
131.71972,33.24651,,,,, 
131.71972,33.24651,,,,, 
131.71981,33.24647,,,,, 
131.7199,33.24642,,,,, 
131.72001,33.24637,,,,, 
131.72001,33.24637,,,,, 
131.72012,33.24631,,,,, 
131.72033,33.24622,,,,, 
131.72055,33.24613,,,,, 
131.72065,33.24608,,,,, 
131.72065,33.24608,,,,, 
131.72087,33.24598,,,,, 
131.72099,33.24593,,,,, 
131.72108,33.24588,,,,, 
131.72117,33.24584,,,,, 
131.72134,33.24583,,,,, 
131.72145,33.24595,,,,, 
131.72151,33.24604,,,,, 
131.72157,33.24613,,,,, 
131.72161,33.24622,,,,, 
131.72166,33.24633,,,,, 
131.72178,33.24652,,,,, 
131.72184,33.24663,,,,, 
131.72192,33.24674,,,,, 
131.72198,33.24685,,,,, 
131.72204,33.24697,,,,, 
131.72204,33.24697,,,,, 
131.72212,33.24708,,,,, 
131.72219,33.24721,,,,, 
131.72229,33.24733,,,,, 
131.72251,33.2477,,,,, 
131.72259,33.24782,,,,, 
131.72267,33.24794,,,,, 
131.72279,33.24816,,,,, 
131.72285,33.24824,,,,, 
131.72288,33.2483,,,,, 
131.72293,33.24836,,,,, 
131.72293,33.24836,,,,, 
131.72291,33.24835,,,,, 
131.72291,33.24835,,,,, 
131.72291,33.24835,,,,, 
131.72291,33.24835,,,,, 
131.72291,33.24835,,,,, 
131.72291,33.24835,,,,, 
131.72291,33.24835,,,,, 
131.72291,33.24835,,,,, 
131.72291,33.24835,,,,, 
131.72291,33.24835,,,,, 
131.72291,33.24835,,,,, 
131.72291,33.24835,,,,, 
131.72291,33.24835,,,,, 
131.72291,33.24835,,,,, 
131.72291,33.24835,,,,, 
131.72291,33.24835,,,,, 
131.72291,33.24835,,,,, 
131.72291,33.24835,,,,, 
131.72291,33.24835,,,,, 
131.72291,33.24835,,,,, 
131.72291,33.24835,,,,, 
131.72291,33.24835,,,,, 
131.72291,33.24835,,,,, 
131.72291,33.24835,,,,, 
131.72291,33.24835,,,,, 
