lon,lat
131.89872,33.26366
131.89872,33.26366
131.89872,33.26366
131.89872,33.26366
131.89872,33.26366
131.89872,33.26365
131.89848,33.26373
131.8984,33.26376
131.89819,33.26383
131.89804,33.26388
131.89788,33.26395
131.89762,33.26403
131.89755,33.26403
131.89746,33.26403
131.89739,33.26402
131.89727,33.264
131.89721,33.26399
131.89715,33.26398
131.89709,33.26397
131.89703,33.26396
131.89697,33.26395
131.89691,33.26392
131.89675,33.26386
131.89668,33.26382
131.89645,33.26369
131.89637,33.26365
131.89613,33.26352
131.89585,33.2634
131.89564,33.26334
131.89541,33.2633
131.89529,33.26329
131.89506,33.26327
131.89494,33.26326
131.89483,33.26326
131.89474,33.26325
131.89465,33.26323
131.89457,33.26321
131.89433,33.2631
131.89424,33.26306
131.89413,33.26303
131.89393,33.26298
131.89361,33.26293
131.8935,33.2629
131.89329,33.26283
131.89318,33.26282
131.893,33.26279
131.893,33.26279
131.89292,33.26277
131.89271,33.26264
131.89257,33.26251
131.89248,33.2624
131.89244,33.26236
131.89241,33.26231
131.89234,33.2622
131.89233,33.26199
131.89234,33.26175
131.89234,33.26166
131.89224,33.26131
131.89222,33.26115
131.89222,33.26115
131.89212,33.26095
131.89196,33.26086
131.89183,33.26079
131.89144,33.26065
131.89132,33.26061
131.89118,33.26059
131.89079,33.26063
131.89056,33.26067
131.8905,33.26066
131.89038,33.26063
131.89031,33.2606
131.89027,33.26055
131.89016,33.26044
131.89012,33.26038
131.89009,33.26031
131.88995,33.26012
131.88989,33.26008
131.88981,33.26004
131.88975,33.26002
131.88969,33.26
131.88969,33.26
131.88954,33.25989
131.889,33.25989
131.88951,33.25986
131.88948,33.25981
131.88943,33.25976
131.88938,33.25972
131.88916,33.25955
131.88908,33.25951
131.88893,33.25947
131.88879,33.25946
131.88865,33.25947
131.88848,33.25939
131.88841,33.25928
131.88832,33.259
131.88836,33.2588
131.88853,33.25868
131.88861,33.25866
131.88896,33.25864
131.88903,33.25858
131.88903,33.25858
131.88909,33.25849
