lon,lat
131.71913,33.24483
131.71945,33.24479
131.71943,33.24478
131.71942,33.24476
131.71942,33.24477
131.71943,33.24478
131.71943,33.24473
131.7194,33.24473
131.71942,33.24477
131.71942,33.24477
131.71937,33.2447
131.71936,33.24472
131.7194,33.24473
131.7194,33.24473
131.71931,33.24479
131.71931,33.24479
131.71931,33.24479
131.71931,33.24479
131.71931,33.24479
131.71932,33.24479
131.71932,33.24478
131.71932,33.24478
131.71932,33.24478
131.71932,33.24478
131.71932,33.24478
131.71932,33.24478
131.71937,33.24481
131.71939,33.24484
131.71942,33.24486
131.71946,33.24498
131.71949,33.24503
131.71952,33.24505
131.71952,33.24505
131.71954,33.24508
131.71955,33.24509
131.71957,33.24514
131.71954,33.24515
131.71936,33.24522
131.71929,33.24523
131.71925,33.24525
131.71922,33.24526
131.71914,33.24528
131.7191,33.24529
131.71902,33.24533
131.71894,33.24536
131.7189,33.24538
131.71887,33.2454
131.71882,33.24541
131.71878,33.24543
131.71873,33.24545
131.71868,33.24547
131.71858,33.24551
131.71852,33.24554
131.71847,33.24556
131.71844,33.24558
131.71839,33.24561
131.71838,33.24562
131.71838,33.24564
131.71839,33.2457
131.71841,33.24573
131.71846,33.24578
131.71853,33.2459
131.71873,33.24621
131.71887,33.24642
131.71894,33.24655
131.71899,33.2466
131.719,33.24664
131.71902,33.24666
131.71902,33.24667
131.71902,33.24667
131.71902,33.24667
131.71902,33.24669
131.71903,33.24671
131.71907,33.24674
131.7191,33.24676
131.71914,33.24676
131.71919,33.24675
131.71925,33.24673
131.71931,33.2467
131.71931,33.2467
131.71946,33.24663
131.71955,33.24659
131.71972,33.24651
131.71972,33.24651
131.71981,33.24647
131.7199,33.24642
131.72001,33.24637
131.72001,33.24637
131.72012,33.24631
131.72033,33.24622
131.72055,33.24613
131.72065,33.24608
131.72065,33.24608
131.72087,33.24598
131.72099,33.24593
131.72108,33.24588
131.72117,33.24584
131.72134,33.24583
131.72145,33.24595
131.72151,33.24604
131.72157,33.24613
131.72161,33.24622
131.72166,33.24633
131.72178,33.24652
131.72184,33.24663
131.72192,33.24674
131.72198,33.24685
131.72204,33.24697
131.72204,33.24697
131.72212,33.24708
131.72219,33.24721
131.72229,33.24733
131.72251,33.2477
131.72259,33.24782
131.72267,33.24794
131.72279,33.24816
131.72285,33.24824
131.72288,33.2483
131.72293,33.24836
131.72293,33.24836
131.72291,33.24835
131.72291,33.24835
131.72291,33.24835
131.72291,33.24835
131.72291,33.24835
131.72291,33.24835
131.72291,33.24835
131.72291,33.24835
131.72291,33.24835
131.72291,33.24835
131.72291,33.24835
131.72291,33.24835
131.72291,33.24835
131.72291,33.24835
131.72291,33.24835
131.72291,33.24835
131.72291,33.24835
131.72291,33.24835
131.72291,33.24835
131.72291,33.24835
131.72291,33.24835
131.72291,33.24835
131.72291,33.24835
131.72291,33.24835
131.72291,33.24835
131.72291,33.24835
131.72291,33.24835
131.72291,33.24835
131.72291,33.24835
131.72291,33.24835
131.72291,33.24835
131.72291,33.24835
131.72291,33.24835
131.72291,33.24835
131.72293,33.2484
131.72297,33.24845
131.72299,33.24847
131.72302,33.2485
131.72308,33.24856
131.72311,33.2486
131.72314,33.24863
131.72317,33.24867
131.72319,33.24869
131.7232,33.24871
131.72322,33.24872
131.72323,33.24875
131.72325,33.24877
131.72326,33.24879
131.72326,33.24882
131.72329,33.24885
131.72332,33.2489
131.72335,33.24895
131.72338,33.24901
131.72369,33.2495
131.72373,33.24958
131.72422,33.25034
131.72436,33.25055
131.72456,33.25085
131.72467,33.25102
131.72477,33.25119
131.72483,33.25127
131.72488,33.25135
131.72494,33.25143
131.72499,33.2515
131.72505,33.25157
131.72509,33.25165
131.72518,33.2518
131.72523,33.25186
131.72528,33.25193
131.72531,33.25197
131.72535,33.25203
131.72535,33.25203
131.72535,33.25202
131.72535,33.25202
131.72535,33.25202
131.72535,33.25202
131.72535,33.25202
131.72538,33.25208
131.72538,33.25208
131.72543,33.25212
131.72554,33.2522
131.72572,33.2522
131.72712,33.25151
131.72726,33.25143
131.72775,33.25119
131.72792,33.25108
131.72843,33.25081
131.72863,33.25072
131.72882,33.25062
131.72901,33.25054
131.72938,33.25034
131.72956,33.25024
131.73014,33.24992
131.73075,33.24959
131.73098,33.24949
131.73118,33.24937
131.73118,33.24937
131.73141,33.24925
131.73164,33.24914
131.73184,33.24901
131.73205,33.2489
131.73226,33.24878
131.73248,33.24866
131.73271,33.24854
131.73294,33.24842
131.73316,33.24831
131.73362,33.24807
131.73385,33.24795
131.73478,33.24746
131.73526,33.24722
131.7355,33.2471
131.736,33.24689
131.736,33.24689
131.73626,33.24679
