lon,lat
131.86021,33.25201
131.85995,33.25217
131.85978,33.25226
131.85969,33.25231
131.8596,33.25234
131.85949,33.25238
131.8594,33.25241
131.85902,33.25256
131.85894,33.25261
131.85887,33.25267
131.85836,33.25321
131.85829,33.25327
131.85815,33.25339
131.85807,33.25344
131.85786,33.25361
131.85771,33.25382
131.85775,33.25407
131.85778,33.25413
131.85784,33.25426
131.85786,33.25428
131.85787,33.2543
131.85787,33.25433
131.85789,33.25436
131.85792,33.25444
131.85792,33.25453
131.85792,33.25458
131.85784,33.2548
131.8578,33.25485
131.85766,33.25495
131.8572,33.255
131.85702,33.25496
131.85676,33.25497
131.85601,33.25513
131.85592,33.25511
131.85581,33.25507
131.85562,33.25499
131.8554,33.25491
131.85531,33.25487
131.85522,33.25483
131.85514,33.2548
131.85475,33.25471
131.85464,33.25471
131.8542,33.25469
131.85409,33.25469
131.85398,33.25469
131.85388,33.25469
131.85366,33.25468
131.85331,33.25467
131.85321,33.25466
131.8531,33.25466
131.85299,33.25465
131.8529,33.25463
131.85256,33.25448
131.85256,33.25448
131.85243,33.25433
131.85237,33.25425
131.85232,33.2542
131.85227,33.25416
131.85226,33.25414
131.85226,33.25414
131.85227,33.25416
131.85238,33.25426
131.85243,33.25429
131.85243,33.25429
131.85243,33.25429
131.85243,33.25429
131.85243,33.25429
131.85243,33.25429
131.85243,33.25429
131.85243,33.25429
131.85243,33.25428
131.85243,33.25428
131.85243,33.25428
131.85243,33.25428
131.85243,33.25428
131.85243,33.25429
131.85238,33.25425
131.85229,33.25416
131.85223,33.2541
131.8522,33.25407
131.85212,33.254
131.85212,33.254
131.85209,33.25396
131.85206,33.25392
131.85183,33.25367
131.8518,33.25363
131.85176,33.25359
131.85153,33.25331
131.8515,33.25326
131.85145,33.25321
131.85142,33.25316
131.85134,33.25305
131.85128,33.25294
131.85121,33.25283
131.85115,33.25271
131.85099,33.25246
131.85095,33.25234
131.85092,33.25228
131.8509,33.25217
131.8509,33.25217
131.8509,33.25201
131.8509,33.25196
131.8509,33.25196
131.8509,33.25192
131.85092,33.25189
131.85093,33.25185
131.85093,33.25185
131.85093,33.25183
131.85093,33.25181
131.85093,33.2518
131.85089,33.25175
131.85086,33.25173
131.85069,33.25172
131.85046,33.25173
131.85046,33.25173
131.85031,33.25174
131.85003,33.25175
131.84992,33.25175
131.84921,33.25173
131.84909,33.25172
131.84854,33.25165
131.8484,33.25162
131.84826,33.25159
131.84812,33.25155
131.84799,33.25151
131.84757,33.25138
131.84757,33.25138
131.84732,33.2513
131.84719,33.25125
131.84719,33.25125
131.84671,33.25108
131.84663,33.25107
131.84655,33.25107
131.84648,33.25107
131.84648,33.25107
131.84632,33.25104
131.84625,33.25102
131.84616,33.25101
131.84608,33.25099
131.84599,33.25099
131.8459,33.25099
131.8459,33.25099
131.8458,33.251
131.8458,33.251
131.8457,33.25102
131.84521,33.25117
131.8451,33.25121
131.84501,33.25125
131.84458,33.25138
131.84413,33.25141
131.84382,33.25136
131.84371,33.25136
131.84349,33.25136
131.84294,33.25149
131.84283,33.2515
131.84249,33.25139
131.84243,33.25132
131.84242,33.25125
131.84284,33.25056
131.84291,33.25049
131.843,33.25033
131.84306,33.25005
131.84301,33.24986
131.84271,33.24935
131.84265,33.24922
131.84263,33.2492
131.84263,33.24919
131.84262,33.24916
131.8426,33.24913
131.84259,33.2491
131.84254,33.24907
131.84249,33.24903
131.84239,33.24896
131.84231,33.24892
131.84231,33.24892
131.84225,33.24888
131.8422,33.24885
131.84217,33.24882
131.84216,33.24881
131.84213,33.2488
131.84211,33.24878
131.84207,33.24875
131.84207,33.24875
131.84204,33.24874
131.84202,33.24872
131.84202,33.24872
131.84193,33.24866
131.8419,33.24863
131.84185,33.2486
131.84173,33.24853
131.84167,33.2485
131.84159,33.24847
131.84153,33.24843
131.84146,33.2484
131.84136,33.24837
131.84129,33.24835
131.8412,33.24832
131.84112,33.24828
131.84094,33.24822
131.84085,33.24819
131.84075,33.24816
131.84033,33.24802
131.84025,33.248
131.84016,33.24798
131.84016,33.24798
131.84008,33.24797
131.84001,33.24797
131.83993,33.24797
131.8399,33.24797
131.83985,33.24798
131.83981,33.24799
131.83976,33.248
131.83966,33.24805
131.83966,33.24805
131.83935,33.24816
131.83935,33.24816
131.83918,33.24819
131.83909,33.24819
131.83892,33.24817
131.83869,33.24806
131.83862,33.24802
131.83856,33.24797
131.83845,33.2479
131.83825,33.24777
131.83821,33.24774
131.83808,33.24766
131.83802,33.24763
131.83793,33.24757
131.83787,33.24753
131.83776,33.24747
131.83769,33.24743
131.83763,33.2474
131.83763,33.2474
131.83755,33.24738
131.83746,33.24736
131.83738,33.24734
131.83731,33.24732
131.83738,33.24734
131.83706,33.24726
131.83688,33.24721
131.8368,33.2472
131.83673,33.24719
131.83673,33.24719
131.83665,33.24718
131.83648,33.24717
131.83639,33.24716
131.8363,33.24716
131.83622,33.24715
131.83613,33.24715
131.8358,33.2471
131.8357,33.24708
131.83561,33.24707
131.83541,33.24705
131.83531,33.24704
131.8352,33.24703
131.83499,33.24702
131.83486,33.24702
131.83476,33.24701
131.83476,33.24701
131.83464,33.24701
131.83453,33.247
131.83441,33.24699
131.83406,33.24696
131.83372,33.24695
131.8328,33.24703
131.83271,33.24704
131.83264,33.24705
131.83229,33.2472
131.83209,33.24744
131.83201,33.2476
131.83197,33.24768
131.8319,33.24775
131.83158,33.248
131.83151,33.24802
131.83135,33.24803
131.83128,33.24802
131.8312,33.248
131.83113,33.24799
131.83097,33.24794
131.83084,33.24789
131.83076,33.24786
131.83062,33.24781
131.83055,33.24778
131.83045,33.24776
131.83045,33.24776
131.83038,33.24773
131.8303,33.2477
131.83021,33.24768
131.83013,33.24765
131.82997,33.24759
131.82989,33.24756
131.82972,33.24749
131.82955,33.24742
131.82948,33.24739
131.82948,33.24739
131.82923,33.24729
131.82914,33.24727
131.82914,33.24727
131.82894,33.24723
131.82888,33.24723
131.82875,33.2472
131.82868,33.24717
131.82856,33.24711
131.8285,33.24708
131.82835,33.24703
131.82827,33.24701
131.82804,33.24699
131.82804,33.24699
131.82789,33.24696
131.82783,33.24695
131.82783,33.24695
131.82769,33.24693
131.82772,33.24694
131.82766,33.24693
131.8276,33.24693
131.82756,33.24691
131.82752,33.24689
131.82751,33.24687
131.82749,33.24686
131.82748,33.24684
131.82693,33.24684
131.82676,33.24682
131.82667,33.24679
131.8265,33.24673
131.82635,33.24664
131.82627,33.24659
131.82618,33.24655
131.82594,33.24641
131.82577,33.24633
131.82563,33.24629
131.82557,33.24629
131.82546,33.24629
131.82533,33.24628
131.82539,33.24628
131.82511,33.24629
131.82493,33.24634
131.82487,33.24636
131.82473,33.24641
131.82435,33.24652
131.82415,33.24656
131.82435,33.24652
131.82405,33.24657
131.82359,33.24646
131.82337,33.24636
131.82315,33.24625
131.8229,33.24615
131.82278,33.2461
131.82254,33.24602
131.82229,33.24597
131.82217,33.24596
131.82167,33.24593
131.82138,33.24591
131.82124,33.2459
131.8211,33.24589
131.82096,33.24588
131.82054,33.24584
131.82029,33.24576
131.81959,33.24547
131.81919,33.24547
131.81893,33.24552
131.81867,33.24555
131.81842,33.24552
131.81816,33.24545
131.81776,33.2453
131.81752,33.24519
131.81739,33.24514
131.81716,33.24505
131.81706,33.24501
131.81681,33.24493
131.81646,33.24484
131.81593,33.24478
131.81553,33.24473
131.81526,33.24468
131.81443,33.24446
131.81431,33.24442
131.81417,33.24438
131.81353,33.24419
131.81329,33.24409
131.81304,33.24399
131.81294,33.24393
131.81282,33.24388
131.81269,33.24382
131.81259,33.24376
131.81234,33.24365
131.81222,33.24359
131.8121,33.24353
131.81198,33.24348
131.81172,33.24338
131.81135,33.24324
131.81111,33.24315
131.81086,33.24306
131.81074,33.24302
131.8106,33.24298
131.81048,33.24293
131.8101,33.2428
131.80986,33.24271
131.80973,33.24267
131.80961,33.24263
131.80949,33.24258
131.80924,33.2425
131.80902,33.24242
131.80879,33.24231
131.80868,33.24225
131.80848,33.24213
131.80838,33.24206
131.80827,33.242
131.80781,33.24175
131.80754,33.24167
131.80738,33.24164
131.80665,33.24158
131.80619,33.24154
131.80604,33.24152
131.80545,33.24146
131.80529,33.24144
131.80484,33.24139
131.80455,33.24135
131.80439,33.24134
131.80426,33.24132
131.8041,33.24131
131.8041,33.24131
131.8038,33.24127
131.80335,33.24122
131.80308,33.24116
131.80294,33.24111
131.80282,33.24106
131.80261,33.24093
131.80252,33.24086
131.8022,33.24054
131.80204,33.24039
131.80198,33.24031
131.80192,33.24024
131.80184,33.24016
131.80178,33.24009
131.80165,33.23995
131.80157,33.23989
131.80149,33.23983
131.80133,33.23973
131.80116,33.23963
131.80105,33.23959
131.80085,33.2395
131.80038,33.23928
131.80026,33.23922
131.80014,33.23916
131.79977,33.23898
131.79966,33.23891
131.79954,33.23885
131.79942,33.23878
131.7993,33.23872
131.79882,33.23848
131.79858,33.23838
131.79833,33.23831
131.79792,33.23828
131.79763,33.2383
131.79751,33.23833
131.79739,33.23836
131.79718,33.23844
131.7971,33.23848
131.79698,33.23854
131.79698,33.23855
131.79698,33.23855
131.79698,33.23855
131.79698,33.23855
131.79698,33.23855
131.79698,33.23855
131.79693,33.23857
131.79661,33.23871
131.79536,33.23914
131.79524,33.23917
131.79499,33.23922
131.79475,33.23928
131.79463,33.2393
131.79449,33.23933
131.79435,33.23935
131.79393,33.23944
131.79322,33.23958
131.79269,33.23968
131.79243,33.23972
131.79229,33.23974
131.79216,33.23976
131.79174,33.23984
131.79161,33.23987
131.79119,33.23994
131.79106,33.23996
131.7909,33.23997
131.79077,33.23998
131.79048,33.23997
131.79003,33.23994
131.78988,33.23992
131.78961,33.2399
131.78945,33.23988
131.78903,33.23983
131.78889,33.23981
131.78875,33.2398
131.78861,33.23978
131.78836,33.23975
131.7881,33.23972
131.78773,33.23968
131.78759,33.23967
131.78747,33.23965
